,0,1,2,V OC (V),J SC (mA/cm2),FF (%),PCE (%)
1_9_0,PBDTT-TT,,,0.78,15.41,61.25,7.38 [7.29]
1_9_1,PBDTT-TT,,,0.77,14.99,63.92,7.42 [7.35]
1_9_2,PBDTT-O-TT,,,0.74,14.67,61.50,6.68 [6.56]
1_9_3,PBDTT-O-TT,,,0.73,15.17,64.44,7.10 [7.01]
1_9_4,PBDTT-S-TT,,,0.84,15.32,65.49,8.42 [8.35]
1_9_5,PBDTT-S-TT,,,0.83,15.49,59.01,7.58 [7.46]
1_9_6,a The values in square brackets are the average PCE obtained from 20 devices.,,,a The values in square brackets are the average PCE obtained from 20 devices.,a The values in square brackets are the average PCE obtained from 20 devices.,a The values in square brackets are the average PCE obtained from 20 devices.,a The values in square brackets are the average PCE obtained from 20 devices.
2_2_0,PF‐C12NT,PC61BM,1:1.5,0.93,7.93,53.2,3.93
2_2_1,,,1:1.5 (2 % DIO),0.89,9.59,64.54,5.51
2_2_2,,PC71BM,1:1.5 (2 % DIO),0.87,12.19,61.36,6.51
2_2_3,PAF‐C12NT,PC61BM,1:1.5,0.69,8.45,62.46,3.64
2_2_4,,,1:1.5 (2 % DIO),0.69,9.12,54.77,3.45
2_2_5,,PC71BM,1:1.5,0.64,10.37,47.52,3.15
2_2_6,PCz‐C12NT,PC61BM,1:2,0.82,7.99,46.55,3.05
2_2_7,,PC61BM,1:2 (2 % DIO),0.77,8.85,59.7,4.07
2_2_8,,PC71BM,1:2 (2 % DIO),0.76,11.31,56.41,4.85
2_2_9,PBDT‐C12NT,PC61BM,1:1,0.7,10.78,62.44,4.71
2_2_10,,,1:1 (2 % DIO),0.68,10.74,68.53,5.0
2_2_11,,PC71BM,1:1 (2 % DIO),0.68,11.74,58.4,4.66
4_0_0,NT1014,,,0.77,7.25 ± 0.18,52.94 ± 0.70,3.03 (2.93)
4_0_1,NT812,,,0.72,18.62 ± 0.27,66.70 ± 1.11,9.21 (9.09)
4_0_2,NT812,,,0.72,19.09 ± 0.19,72.85 ± 1.33,10.33 (10.18)
4_0_3,NT812,,,0.72,19.94 ± 0.36,71.45 ± 1.00,10.23 (10.01)
4_0_4,NT812,,,0.72,19.91 ± 0.15,70.64 ± 0.69,10.22 (10.11)
4_0_5,NT812,,,0.72,20.61 ± 0.62,66.99 ± 1.38,10.20 (10.10)
5_3_0,1,,,0.78,9.31,52.0,3.78
5_3_1,2,,,0.84,13.7,58.4,6.72
5_3_2,3,,,0.78,14.45,65.4,7.37
5_3_3,4,,,0.8,15.55,64.4,8.01
5_3_4,5,,,0.84,4.64,43.4,1.69
5_3_5,6,,,0.8,8.41,53.5,3.6
6_0_0,PDCBT/PC71BM,1.5:1,,0.93,8.8,71,5.8 (5.6)
6_0_1,,1:1,,0.93,9.9,71,6.5 (6.3)
6_0_2,,1:1,,0.94,10.2,72,6.9 (6.7)
6_0_3,,1:1a)a)With 3% DIO;,,0.91,11.0,72,7.2 (7.0)
6_0_4,,1:1b)b)With thermal annealing at 100 °C for 10 min;,,0.95,10.5,69,6.9 (6.7)
6_0_5,,1:1,,0.92,10.3,70,6.6 (6.3)
6_0_6,,1:1,,0.92,10.5,68,6.5 (6.2)
6_0_7,,1:1,,0.91,10.6,66,6.4 (6.1)
6_0_8,,1:1.5,,0.92,8.8,66,5.3 (5.2)
6_0_9,PDCBT/PC61BM,1:1,,0.9,11.1,63,6.3 (6.1)
6_0_10,P3HT/PC71BM,1:1c)c)The devices were fabricated under the same conditions as used for PDCBT/PC71BM‐based devices;,,0.63,4.5,62,1.8 (1.7)
6_0_11,,1:1d)d)The devices were fabricated with solvent annealing;,,0.59,9.6,69,3.9 (3.8)
6_0_12,P3HT/PC61BM,1:1e)e)The devices were fabricated under the optimal conditions from the literature;[4],,0.61,9.7,65,3.9 (3.7)
7_0_0,ZnO,,,0.7,13.75,69.0,6.65
7_0_1,ZnO‐C60,,,0.73,15.41,73.0,8.21
7_0_2,ZnO,,,0.79,14.02,69.1,7.64
7_0_3,ZnO‐C60,,,0.8,15.73,74.3,9.35
8_10_0,PT  –C1,,,0.81,5.31,0.392,1.69
8_10_1,PT  –C2,,,0.81,5.44,0.484,2.14
8_10_2,PT  –C3,,,0.77,7.22,0.584,3.25
8_10_3,P3HT  a,,,0.62,7.07,0.547,2.4
8_10_4,a The device was fabricated with the same experimental conditions as that used in fabricating the PSCs for the carboxylate substituted PTs.,,,,,,
8_13_0,PT  –C3:PC70BM = 1:1,,,0.77,7.22,0.584,3.25
8_13_1,PT  –C3:PC70BM = 1:1.5,,,0.78,9.68,0.512,3.87
8_13_2,PT  –C3:PC70BM = 1:2,,,0.82,6.43,0.529,2.79
9_1_0,P3HST,,,0.63,,0.34,0.34
9_1_1,P3HST‐co‐Th,,,0.63,,0.34,0.5
10_4_0,POPT∶PC61BM (1∶1),,,0.56,5.16,0.6,1.71
10_4_1,POPTT∶PC61BM (1∶3),,,0.63,6.83,0.4,1.73
10_4_2,POPQT∶PC61BM (1∶3),,,0.75,7.69,0.48,2.77
10_4_3,POPQT∶PC71BM (1∶3),,,0.71,8.67,0.56,3.44
11_0_0,PBDT‐3MT,1:1,,0.84,10.5,40,3.53
11_0_1,,1:2,,0.86,8.25,47,3.33
11_0_2,,1:3,,0.84,4.63,43,1.67
11_0_3,,1:4,,0.85,4.06,46,1.59
11_0_4,,1:1,,0.86,10.5,50,4.52
11_0_5,,1:1,,0.84,10.58,44,3.91
11_0_6,,1:1,,0.85,5.47,37,2.6
11_0_7,P3CTV,1:2 (PC61BM),,0.86,5.47,43,2.0126
11_0_8,PCTDBT,1:1 (PC61BM),,0.8,6.94,42,2.3229
12_0_0,1:1,,,0.76,13.58,54.51,5.74
12_0_1,1:1.5,,,0.75,13.56,59.23,6.22
12_0_2,1:2,,,0.75,11.4,62.16,5.58
12_1_0,DCB,,,0.74,,60.25,6.22
12_1_1,DCB+DIO,,,0.74,13.99,68.85,7.18
12_1_2,CB,,,0.76,,50.52,3.92
12_1_3,CB+DIO,,,0.74,14.16,68.97,7.4
13_4_0,1:0.8,,,0.85,7.32,0.7,4.3
13_4_1,1:1,,,0.85,7.85,0.69,4.6
13_4_2,1:1.2,,,0.84,7.58,0.69,4.4
13_4_3,1:2,,,0.86,5.96,0.71,3.6
13_4_4,a Polymer solar cell device having the structure ITO/PEDOT:PSS/active layer/Al.  b DIO (1 vol%) was added as an additive.,,,,,,
13_5_0,1:1,,,0.82,6.24,0.64,3.3
13_5_1,1:1,,,0.85,8.99,0.67,5.1
13_5_2,1:1,,,0.84,7.93,0.67,4.5
14_0_0,P1:[70]PCBM (1:1.5 wt/wt),,,0.95,1.03,0.38,0.38
14_0_1,P1:[70]PCBM (1:1.5 wt/wt),,,0.9,5.01,0.42,1.9
14_0_2,P2:[70]PCBM (1:1.5 wt/wt),,,0.91,2.89,0.48,1.27
14_0_3,P2:[70]PCBM (1:1.5 wt/wt),,,0.91,10.08,0.61,5.53
14_1_0,P2:[70]PCBM (1:1 wt/wt),,,0.86,10.88,0.56,5.21
14_1_1,P2:[70]PCBM (1:1 wt/wt),,,0.87,10.43,0.53,4.81
14_1_2,P2:[70]PCBM (1:1 wt/wt),,,0.94,10.16,0.61,5.77
14_1_3,P2:[70]PCBM (1:1 wt/wt),,,0.88,10.08,0.62,5.48
15_1_0,P1,80–90,0%,0.91,8.5,0.63,4.78 ± 0.10
15_1_1,,,3%,0.87,9.5,0.6,4.84 ± 0.05
15_1_2,P2,70–80,0%,0.81,6.7,0.59,2.92 ± 0.11
15_1_3,,,3%,0.78,6.41,0.61,2.81 ± 0.25
15_1_4,P3,70–80,0%,0.76,4.91,0.56,1.99 ± 0.09
15_1_5,,,3%,0.72,5.14,0.56,1.93 ± 0.18
15_1_6,P4,80–90,0%,0.95,4.93,0.49,1.79 ± 0.13
15_1_7,,,3%,0.88,8.8,0.66,5.01 ± 0.15
15_1_8,P5,70–80,0%,0.86,1.06,0.36,0.30 ± 0.04
15_1_9,,,3%,0.81,1.57,0.39,0.43 ± 0.10
15_1_10,P6,75–85,0%,0.81,6.66,0.62,3.16 ± 0.19
15_1_11,,,3%,0.8,6.76,0.63,3.26 ± 0.15
15_1_12,P7,80–90,0%,0.88,8.14,0.61,4.28 ± 0.11
15_1_13,,,3%,0.89,6.64,0.55,3.00 ± 0.14
15_1_14,P8,85–100,0%,0.93,5.61,0.45,2.13 ± 0.12
15_1_15,,,3%,0.87,7.75,0.68,4.41 ± 0.19
15_1_16,P9 ([60]PCBM),85–90,0%,0.88,5.48,0.56,2.64 ± 0.05
15_1_17,,,3%,0.85,10.4,0.63,5.54 ± 0.08
15_1_18,P9 ([70]PCBM),70–85,3%,0.85,13.17,0.64,7.03 ± 0.08
16_6_0,PPDT1  a,,,0.87,8.30,45.3,3.28
16_6_1,PPDT2  a,,,0.85,9.26,52.1,4.08
16_6_2,PPDT3  b,,,0.89,8.50,70.6,5.33
16_6_3,PPDT4  a,,,0.86,3.50,31.6,0.95
16_6_4,PPDT5  a,,,0.75,8.47,40.5,2.57
16_6_5,"a Active layers are processed with achloroform and bchlorobenzene, respectively.",,,"a Active layers are processed with achloroform and bchlorobenzene, respectively.","a Active layers are processed with achloroform and bchlorobenzene, respectively.","a Active layers are processed with achloroform and bchlorobenzene, respectively.","a Active layers are processed with achloroform and bchlorobenzene, respectively."
17_0_0,PSOxTT,,,0.56,7.5,0.49,2.1 ± 0.17
17_0_1,PSOTT,,,0.62,10.2,0.65,4.1 ± 0.08
17_0_2,PSEHTT,,,0.65,12.6,0.61,5.0 ± 0.06
18_5_0,P1,,,0.87,8.8,41.1,3.14
18_5_1,P1,,,0.89,10.37,54.7,5.05
18_5_2,P2,,,0.89,8.6,66.4,5.08
18_5_3,P2,,,0.91,9.96,74.5,6.76
19_8_0,PDTPO-BDTO:PC71BM,,,0.85,9.14,55.1,4.28
19_8_1,PDTPO-BDTO:PC71BM,,,0.92,9.48,65.3,5.70
19_8_2,PDTPO-BDTO:PC71BM,,,0.92,9.46 (10.1),71.2,6.19
19_8_3,PDTPO-BDTO:PC71BM,,,0.95,8.36,67.3,5.34
19_8_4,PDTPO-BDTO:PC71BM,,,0.93,10.4 (10.0),70.6,6.84
19_8_5,PDTPO-BDTT:PC71BM,,,0.86,9.95,55.6,4.74
19_8_6,PDTPO-BDTT:PC71BM,,,0.96,9.68,69.4,6.45
19_8_7,PDTPO-BDTT:PC71BM,,,0.96,10.1 (10.5),70.5,6.84
19_8_8,PDTPO-BDTT:PC71BM,,,0.98,9.07,71.6,6.37
19_8_9,PDTPO-BDTT:PC71BM,,,0.94,10.3 (10.4),68.0,6.61
19_8_10,a THF solvent annealing before spin-coating the PFN layer.  b The values in the parentheses are the integrated current density calculated from the IPCE spectrum.,,,a THF solvent annealing before spin-coating the PFN layer.  b The values in the parentheses are the integrated current density calculated from the IPCE spectrum.,a THF solvent annealing before spin-coating the PFN layer.  b The values in the parentheses are the integrated current density calculated from the IPCE spectrum.,a THF solvent annealing before spin-coating the PFN layer.  b The values in the parentheses are the integrated current density calculated from the IPCE spectrum.,a THF solvent annealing before spin-coating the PFN layer.  b The values in the parentheses are the integrated current density calculated from the IPCE spectrum.
19_13_0,PDTPO-BDTO,,,0.93,10.4,0.70,6.84
19_13_1,PDTPO-BDTT,,,0.96,10.1,0.70,6.84
19_13_2,PTADTBTO,,,0.85,11.02,0.59,4.64
19_13_3,PBDT[2F]T,,,0.9,10.7,0.72,7.0
19_13_4,BTT-BTz,,,0.81,10.9,0.57,5.06
19_13_5,PIDTT-TzTz,,,0.9,10.41,0.59,5.9
19_13_6,PBDTT,,,0.93,11.95,0.55,6.12
19_13_7,HMW-P1,,,0.90,12.72,0.57,6.52
19_13_8,PBnDT-FTAZ,,,0.79,12.45,0.72,7.10
19_13_9,a Results from cyclic voltammetry.  b Achieved with the inverted architecture (see Fig. S5b).  c Achieved with the conventional architecture (see Fig. S5a).  d Results from ultraviolet photoelectron spectroscopy.,,,a Results from cyclic voltammetry.  b Achieved with the inverted architecture (see Fig. S5b).  c Achieved with the conventional architecture (see Fig. S5a).  d Results from ultraviolet photoelectron spectroscopy.,a Results from cyclic voltammetry.  b Achieved with the inverted architecture (see Fig. S5b).  c Achieved with the conventional architecture (see Fig. S5a).  d Results from ultraviolet photoelectron spectroscopy.,a Results from cyclic voltammetry.  b Achieved with the inverted architecture (see Fig. S5b).  c Achieved with the conventional architecture (see Fig. S5a).  d Results from ultraviolet photoelectron spectroscopy.,a Results from cyclic voltammetry.  b Achieved with the inverted architecture (see Fig. S5b).  c Achieved with the conventional architecture (see Fig. S5a).  d Results from ultraviolet photoelectron spectroscopy.
20_5_0,PPDTBT,,,0.76,9.77,0.58,4.27/4.12
20_5_1,PPDTBT,,,0.81,10.40,0.61,5.08/4.89
20_5_2,PPDTFBT,,,0.76,10.6,0.59,4.72/4.38
20_5_3,PPDTFBT,,,0.81,10.2,0.62,5.11/5.02
20_5_4,PPDT2FBT,,,0.78,12.9,0.71,7.18/6.94
20_5_5,PPDT2FBT,,,0.86,11.40,0.74,7.26/7.06
20_5_6,a Thermal annealing at 130 °C for 10 min.,,,a Thermal annealing at 130 °C for 10 min.,a Thermal annealing at 130 °C for 10 min.,a Thermal annealing at 130 °C for 10 min.,a Thermal annealing at 130 °C for 10 min.
20_8_0,PPDTBT,,,0.70,11.77,0.63,5.04
20_8_1,PPDTFBT,,,0.73,12.88,0.69,6.45
20_8_2,PPDT2FBT,,,0.78,15.59,0.71,8.39
20_8_3,PPDT2FBT,,,0.79,15.94,0.73,9.21
20_8_4,"a J  SC [cal.], calculated JSC from a EQE curve.",,,"a J  SC [cal.], calculated JSC from a EQE curve.","a J  SC [cal.], calculated JSC from a EQE curve.","a J  SC [cal.], calculated JSC from a EQE curve.","a J  SC [cal.], calculated JSC from a EQE curve."
21_3_0,Conventional,,,0.96,10.76,61.0,6.30 (6.12)
21_3_1,Conventional,,,0.98,11.56,70.1,7.94 (7.60)
21_3_2,Inverted,,,0.96,12.59,75.5,9.13 (8.98)
21_3_3,a Data in parentheses stand for the average PCEs of 10 cells.,,,a Data in parentheses stand for the average PCEs of 10 cells.,a Data in parentheses stand for the average PCEs of 10 cells.,a Data in parentheses stand for the average PCEs of 10 cells.,a Data in parentheses stand for the average PCEs of 10 cells.
22_1_0,PITBT,,,0.9620000000000001,11.78,47.6,5.40 (5.20 ± 0.20)
22_1_1,PITBT,,,0.943,12.51,50.18,5.92 (5.60 ± 0.32)
22_1_2,PITFBT,,,0.995,12.29,54.95,6.72 (6.43 ± 0.29)
22_1_3,PITFBT,,,0.903,15.36,65.89,9.14 (9.01 ± 0.13)
23_9_0,PC1,,,0.88 ± 0.02,5.77 ± 0.48,44.1 ± 0.6,2.30 ± 0.22 (2.45)
23_9_1,PC2,,,0.94 ± 0.01,12.84 ± 1.38,58.7 ± 3.9,7.10 ± 0.16 (7.26)
23_9_2,PC3,,,0.93 ± 0.01,11.18 ± 0.49,63.3 ± 2.6,6.60 ± 0.10 (6.68)
23_9_3,"a Blend ratio of polymer: PC71BM.  b A mixed solvent of o-DCB:CB (1:4, v/v) is used, 0.5% (v/v) DIO as an additive.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses.",,,"a Blend ratio of polymer: PC71BM.  b A mixed solvent of o-DCB:CB (1:4, v/v) is used, 0.5% (v/v) DIO as an additive.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses.","a Blend ratio of polymer: PC71BM.  b A mixed solvent of o-DCB:CB (1:4, v/v) is used, 0.5% (v/v) DIO as an additive.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses.","a Blend ratio of polymer: PC71BM.  b A mixed solvent of o-DCB:CB (1:4, v/v) is used, 0.5% (v/v) DIO as an additive.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses.","a Blend ratio of polymer: PC71BM.  b A mixed solvent of o-DCB:CB (1:4, v/v) is used, 0.5% (v/v) DIO as an additive.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses."
23_10_0,1:4,,,0.98 ± 0.01,10.86 ± 0.35,53.9 ± 1.0,5.75 ± 0.27 (6.02)
23_10_1,1:4,,,0.95 ± 0.01,11.21 ± 0.42,57.1 ± 1.5,6.07 ± 0.21 (6.21)
23_10_2,1:3,,,0.95 ± 0.01,13.40 ± 0.98,54.7 ± 2.5,6.95 ± 0.29 (7.24)
23_10_3,"a A mixed solvent of o-DCB:CB (1:4, v/v) is used.  b Blend ratio of polymer:PC71BM.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses.",,,"a A mixed solvent of o-DCB:CB (1:4, v/v) is used.  b Blend ratio of polymer:PC71BM.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses.","a A mixed solvent of o-DCB:CB (1:4, v/v) is used.  b Blend ratio of polymer:PC71BM.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses.","a A mixed solvent of o-DCB:CB (1:4, v/v) is used.  b Blend ratio of polymer:PC71BM.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses.","a A mixed solvent of o-DCB:CB (1:4, v/v) is used.  b Blend ratio of polymer:PC71BM.  c The data have been averaged over 8 devices of different batches. The performance of the best device is given in parentheses."
24_0_0,No,,,0.91,10.1,57.9,5.32 (5.22)
24_0_1,No,,,0.92,12.98,58.16,6.95 (6.83)
24_0_2,C‐PCBSD,,,0.93,14.11,56.33,7.39 (7.10)
25_1_0,P1:PC71BM,,,0.95,3.2,0.44,1.31
25_1_1,P1:PC71BM,,,0.96,4.4,0.53,2.23
25_1_2,P2:PC71BM,,,0.9,1.3,0.45,0.53
25_1_3,P2:PC71BM,,,0.89,3.0,0.53,1.42
26_7_0,P2,,,0.8,3.43,54.7,1.50 (1.46)
26_7_1,P3,,,0.89,7.01,58.6,3.70 (3.65)
27_1_0,PC60BM,,,1.02,8.93,57.8,5.47/5.44
27_1_1,PC60BM,,,1.02,11.96,53.7,6.63/6.48
27_1_2,PC60BM,,,1.02,13.01,53.6,7.27/7.17
27_1_3,PC70BM,,,1.01,4.74,46.9,2.34/2.28
27_1_4,PC70BM,,,1.01,13.44,50.4,7.08/6.96
27_1_5,PC70BM,,,1.0,14.32,52.0,7.59/7.43
27_1_6,PC70BM,,,1.01,13.61,50.0,7.06/7.02
28_0_0,P1a)a) a)Structure of ITO/PEDOT:PSS/polymer:PC71BM/PFN/Al;,,,0.88,7.42,0.51,3.35
28_0_1,P2a)a) a)Structure of ITO/PEDOT:PSS/polymer:PC71BM/PFN/Al;,,,0.9,10.79,0.62,6.1
28_0_2,P3a)a) a)Structure of ITO/PEDOT:PSS/polymer:PC71BM/PFN/Al;,,,0.84,3.59,0.49,1.5
28_0_3,P2b)b) b)Inverted structure of ITO/P2:PC71BM/MoO3/Al;,,,0.69,9.71,0.56,3.8
28_0_4,P2c)c) c)Inverted structure of ITO/ZnO/P2:PC71BM/MoO3/Al;,,,0.9,9.38,0.64,5.47
28_0_5,P2d)d) d)Inverted structure of ITO/PF3N‐OX/P2:PC71BM/MoO3/Al.,,,0.92,11.71,0.65,7.11
29_0_0,As cast,,,0.91,12.8,59.92,6.98
29_0_1,90 °C,,,0.89,12.22,68.78,7.48
29_0_2,120 °C,,,0.87,13.5,71.09,8.35
29_0_3,120 °Ca)a)Device using PFN‐Br cathode interlayer/Al;,,,0.87,13.5,73.95,8.63
29_0_4,150 °C,,,0.85,13.2,71.8,8.06
30_10_0,PV-BDTC1/PC71BM,,,0.93,5.75,59.39,3.15
30_10_1,PV-BDTC1/PC61BM,,,0.91,5.88,39.5,2.13
30_10_2,PV-BDTC2/PC71BM,,,1.04,8.82,60.8,5.53
30_10_3,PV-BDTC2/PC71BMd,,,1.03,10.10,70.0,7.33
30_10_4,PV-BDTC2/PC61BMd,,,1.02,9.55,61.2,6.18
30_10_5,a J  sc measured from solar cells.  b J  sc estimated from EQE spectra.  c Obtained from 20 devices.  d 3% DIO additive.,,,a J  sc measured from solar cells.  b J  sc estimated from EQE spectra.  c Obtained from 20 devices.  d 3% DIO additive.,a J  sc measured from solar cells.  b J  sc estimated from EQE spectra.  c Obtained from 20 devices.  d 3% DIO additive.,a J  sc measured from solar cells.  b J  sc estimated from EQE spectra.  c Obtained from 20 devices.  d 3% DIO additive.,a J  sc measured from solar cells.  b J  sc estimated from EQE spectra.  c Obtained from 20 devices.  d 3% DIO additive.
31_0_0,–,,,1.02,9.3,56,5.3 (5.1)
31_0_1,1,,,0.98,11.2,73,8 (7.8)
31_0_2,1b)b)Inverted structure of ITO/PFN/PM6:PC71BM/MoO3/Au (80 nm);,,,0.98,12.7,74,9.2 (8.8)
31_0_3,1c)c)Semitransparent device with the structure of ITO/PFN/PM6:PC71BM/MoO3/Au (10 nm).,,,0.96,9.4,63,5.7 (5.4)
31_0_4,2,,,0.98,10.4,70,7.1 (6.9)
31_0_5,3,,,0.98,10.3,67,6.8 (6.6)
32_6_0,PBDT(O)-T1:PC70BM,,,0.83 ± 0.01,9.6 ± 0.2 (9.1),49.5 ± 0.6,4.01
32_6_1,PBDT(S)-T1:PC70BM,,,0.89 ± 0.01,12.2 ± 0.1 (12.1),67.7 ± 0.4,7.48
32_6_2,PBDT(Se)-T1:PC70BM,,,0.91 ± 0.01,13.0 ± 0.1 (12.6),71.7 ± 0.4,8.52
32_6_3,a The values in parentheses are the Jsc calculated from the IPCE spectrum for the optimal devices.  b The average values were calculated from 6 devices for each condition.,,,a The values in parentheses are the Jsc calculated from the IPCE spectrum for the optimal devices.  b The average values were calculated from 6 devices for each condition.,a The values in parentheses are the Jsc calculated from the IPCE spectrum for the optimal devices.  b The average values were calculated from 6 devices for each condition.,a The values in parentheses are the Jsc calculated from the IPCE spectrum for the optimal devices.  b The average values were calculated from 6 devices for each condition.,a The values in parentheses are the Jsc calculated from the IPCE spectrum for the optimal devices.  b The average values were calculated from 6 devices for each condition.
33_6_0,PBDT-O1:PC70BM,0,0.88 ± 0.01,0.88 ± 0.01,5.3 ± 0.1,39.1 ± 0.7,1.9
33_6_1,PBDT-O1:PC70BM,0.5,0.86 ± 0.01,0.86 ± 0.01,9.3 ± 0.1,63.3 ± 0.7,5.2
33_6_2,PBDT-O1:PC70BM,1,0.85 ± 0.01,0.85 ± 0.01,7.6 ± 0.3,53.5. ± 0.7,3.6
33_6_3,,,,,,,
33_6_4,PBDT-ST1:PC70BM,0,0.92 ± 0.01,0.92 ± 0.01,7.5 ± 0.2,36.5 ± 0.2,2.6
33_6_5,PBDT-ST1:PC70BM,0.5,0.90 ± 0.01,0.90 ± 0.01,13.4 ± 0.3,74.2 ± 0.5,9.0
33_6_6,PBDT-ST1:PC70BM,1,0.86 ± 0.01,0.86 ± 0.01,12.5 ± 0.2,69.9 ± 0.7,7.8
33_6_7,,,,,,,
33_6_8,PBDT-Se1:PC70BM,0,0.87 ± 0.01,0.87 ± 0.01,10.3 ± 0.5,51.4 ± 0.5,4.6
33_6_9,PBDT-Se1:PC70BM,0.5,0.85 ± 0.01,0.85 ± 0.01,12.9 ± 0.2,73.6 ± 1.1,8.3
