,0,1,2,V OC (V),J SC (mA/cm2),FF (%),PCE (%)
152_8_5,a Polymer:PC71BM = 1:4 (w/w); o-DCB:CB = 1:4 (v/v); 0.5% (v/v) DIO.  b The data have been averaged over 8 devices of different batches.,,,a Polymer:PC71BM = 1:4 (w/w); o-DCB:CB = 1:4 (v/v); 0.5% (v/v) DIO.  b The data have been averaged over 8 devices of different batches.,a Polymer:PC71BM = 1:4 (w/w); o-DCB:CB = 1:4 (v/v); 0.5% (v/v) DIO.  b The data have been averaged over 8 devices of different batches.,a Polymer:PC71BM = 1:4 (w/w); o-DCB:CB = 1:4 (v/v); 0.5% (v/v) DIO.  b The data have been averaged over 8 devices of different batches.,a Polymer:PC71BM = 1:4 (w/w); o-DCB:CB = 1:4 (v/v); 0.5% (v/v) DIO.  b The data have been averaged over 8 devices of different batches.
153_2_0,PBDTBT,,,0.76,5.32,42.31,1.71
153_2_1,PBDTBT,,,0.76,4.87,41.73,1.55
153_2_2,PBDTDTBT,,,0.84,7.81,51.16,3.35
153_2_3,PBDTDTBT,,,0.79,13.56,69.1,7.4
154_9_0,PBDTT-BTAZT-1,1:1,NO,0.73 ± 0.01,13.78 ± 0.16,52.9 ± 2.9,5.29 ± 0.28(5.79)
154_9_1,PBDTT-BTAZT-1,1:1,1% DIO,0.73 ± 0.01,13.59 ± 0.16,63.0 ± 1.1,6.21 ± 0.07(6.32)
154_9_2,PBDTT-BTAZT-1,1:1,1% DIO,0.75 ± 0.01,14.11 ± 0.21,62.4 ± 1.6,6.64 ± 0.27(6.95)
154_9_3,,,,,,,
154_9_4,PBDTT-BTAZT-2,1:2,NO,0.74 ± 0.01,10.36 ± 0.43,55.1 ± 3.6,4.19 ± 0.21(4.51)
154_9_5,PBDTT-BTAZT-2,1:2,3% NMP,0.75 ± 0.01,9.84 ± 0.19,64.2 ± 2.2,4.74 ± 0.26(5.04)
154_9_6,PBDTT-BTAZT-2,1:2,3% NMP,0.75 ± 0.01,12.73 ± 0.17,62.4 ± 2.5,5.96 ± 0.15(6.16)
154_9_7,a Average data obtained from six devices.,a Average data obtained from six devices.,a Average data obtained from six devices.,a Average data obtained from six devices.,a Average data obtained from six devices.,a Average data obtained from six devices.,a Average data obtained from six devices.
155_11_0,PIDTI-BT:PC71BM,1:1,4.79,0.81,4.79,34.3,1.20
155_11_1,PIDTI-BT:PC71BM,1:2,8.28,0.80,8.28,52.7,3.49
155_11_2,PIDTI-BT:PC71BM,1:2,8.99 (8.69),0.82,8.99 (8.69),54.6,4.02
155_11_3,PIDTI-BT:PC71BM,1:3,7.80,0.81,7.80,46.6,2.94
155_11_4,PIDTI-BT:PC71BM,1:4,6.79,0.81,6.79,40.3,2.21
155_11_5,,,,,,,
155_11_6,PIDTI-DTBT:PC71BM,1:1,3.94,0.78,3.94,36.9,1.13
155_11_7,PIDTI-DTBT:PC71BM,1:2,7.27,0.79,7.27,48.1,2.76
155_11_8,PIDTI-DTBT:PC71BM,1:3,8.85,0.80,8.85,45.3,3.20
155_11_9,PIDTI-DTBT:PC71BM,1:3,9.07 (8.87),0.80,9.07 (8.87),51.4,3.72
155_11_10,PIDTI-DTBT:PC71BM,1:4,6.10,0.79,6.10,45.8,2.20
155_11_11,a Annealing at 130 °C for 10 min.  b Integrated from EQE data.  c The value is the average PCE of four devices.  d Hole mobility of the polymers determined by OFET.  e SCLC mobility of the polymers.,a Annealing at 130 °C for 10 min.  b Integrated from EQE data.  c The value is the average PCE of four devices.  d Hole mobility of the polymers determined by OFET.  e SCLC mobility of the polymers.,a Annealing at 130 °C for 10 min.  b Integrated from EQE data.  c The value is the average PCE of four devices.  d Hole mobility of the polymers determined by OFET.  e SCLC mobility of the polymers.,a Annealing at 130 °C for 10 min.  b Integrated from EQE data.  c The value is the average PCE of four devices.  d Hole mobility of the polymers determined by OFET.  e SCLC mobility of the polymers.,a Annealing at 130 °C for 10 min.  b Integrated from EQE data.  c The value is the average PCE of four devices.  d Hole mobility of the polymers determined by OFET.  e SCLC mobility of the polymers.,a Annealing at 130 °C for 10 min.  b Integrated from EQE data.  c The value is the average PCE of four devices.  d Hole mobility of the polymers determined by OFET.  e SCLC mobility of the polymers.,a Annealing at 130 °C for 10 min.  b Integrated from EQE data.  c The value is the average PCE of four devices.  d Hole mobility of the polymers determined by OFET.  e SCLC mobility of the polymers.
156_12_0,P1,,,0.7,2.06,43,0.86
156_12_1,P2,,,0.8,4.84,50,2.22
156_12_2,P3,,,0.95,2.57,36,1.28
156_12_3,P4,,,1.0,1.87,38,1.05
157_7_0,PBDTFQ-T:PC61BM (1:1.5),,,0.81,−9.29,68,5.12
157_7_1,PBDTFQ-T:PC61BM (1.5:1),,,0.85,−8.64,67,4.91
157_7_2,PBDTFQ-T:PC61BM (1:1),,,0.87,−5.46,46,2.18
157_7_3,PBDTFQ-T:PC61BM (1:1),,,0.84 (0.84),−9.18 (−9.63),67 (70),5.30 (5.68)
157_7_4,PBDTFQ-TT:PC61BM (1:1.5),,,0.81,−9.27,62,4.62
157_7_5,PBDTFQ-TT:PC61BM (1.5:1),,,0.83,−10.48,58,5.05
157_7_6,PBDTFQ-TT:PC61BM (1:1),,,0.82 (0.82),−10.87 (−11.18),59 (61),5.29 (5.60)
157_7_7,PBDTFQ-TT:PC61BM (1:1),,,0.75,−9.53,45,3.19
158_4_0,PThzTITI,Without,0.94,0.94,0.54,46.4,0.24
158_4_1,PThzTITI,3%,1.08,1.08,1.6,56.8,0.98
158_4_2,,,,,,,
158_4_3,PSezTITI,Without,1.02,1.02,0.48,45.4,0.22
158_4_4,PSezTITI,3%,1.05,1.05,3.75,59.6,2.36
159_7_0,PVB1:PC71BM,,,1.00,6.80,0.42,2.84
159_7_1,PVB2:PC71BM,,,1.09,5.33,0.35,2.05
159_7_2,a The weight ratio of polymer:PC71BM are 1:4.  b Fill factor.,,,a The weight ratio of polymer:PC71BM are 1:4.  b Fill factor.,a The weight ratio of polymer:PC71BM are 1:4.  b Fill factor.,a The weight ratio of polymer:PC71BM are 1:4.  b Fill factor.,a The weight ratio of polymer:PC71BM are 1:4.  b Fill factor.
160_7_0,1:1,,,0.90,7.70,64,4.45
160_7_1,1:2,,,0.90,7.99,64,4.62
160_7_2,1:3,,,0.90,6.88,54,3.34
160_7_3,a Open-circuit voltage.  b Short-circuit current density.  c Fill factor.  d Power conversion efficiency.,,,a Open-circuit voltage.  b Short-circuit current density.  c Fill factor.  d Power conversion efficiency.,a Open-circuit voltage.  b Short-circuit current density.  c Fill factor.  d Power conversion efficiency.,a Open-circuit voltage.  b Short-circuit current density.  c Fill factor.  d Power conversion efficiency.,a Open-circuit voltage.  b Short-circuit current density.  c Fill factor.  d Power conversion efficiency.
161_12_0,P1:PC71BM (as cast),,,0.94,8.84,0.52,4.32
161_12_1,P2:PC71BM (as cast),,,0.96,7.26,0.5,3.48
161_12_2,P1:PC71BM (SVA),,,0.9,12.62,0.64,7.27
161_12_3,P2:PC71BM (SVA),,,0.92,11.72,0.62,6.68
162_1_0,PBDT‐TPD,,,0.46,10.5,,1.92
162_1_1,PBDT‐Th‐TPD,,,0.74,4.17,,1.11
162_1_2,PBDT‐TT‐TPD,,,0.74,4.88,,1.36
163_8_0,PBDT-TS1,,,0.807,17.55,0.672,9.52
163_8_1,PBDT-TS2,,,0.813,16.52,0.623,8.37
163_8_2,PBDT-TS3,,,0.809,16.22,0.56,7.36
164_5_0,Without DIO,,,0.88,9.17,72.55,6.03
164_5_1,With DIO3%,,,0.87,11.48,73.13,6.99
164_5_2,"a Jsc (cal.), calculated Jsc from a EQE curve.",,,"a Jsc (cal.), calculated Jsc from a EQE curve.","a Jsc (cal.), calculated Jsc from a EQE curve.","a Jsc (cal.), calculated Jsc from a EQE curve.","a Jsc (cal.), calculated Jsc from a EQE curve."
165_5_0,TQF2-1,,,0.93,8.5 (8.1)b,0.58,4.6
165_5_1,PTI-1,,,0.88,6.8 (6.4)b,0.62,3.7
165_5_2,PR31,,,0.94,9.4 (9.2)b,0.62,5.5
165_5_3,PR13,,,0.95,10.8 (10.3)b,0.57,5.8
165_5_4,PR11,,,0.92,7.6 (7.2)b,0.57,4.0
165_5_5,PTQTI-Fa,,,0.93,12.6,0.54,6.3
165_5_6,TQF2-1:PTI-1 (3:1),,,0.93,8.1 (7.7)b,0.47,3.5
165_5_7,TQF2-1:PTI-1 (1:3),,,0.94,4.4 (4.0)b,0.45,1.9
165_5_8,TQF2-1:PTI-1 (1:1),,,0.94,6.0 (5.7)b,0.52,2.9
165_5_9,a From ref. 39.b Integrated Jsc from EQE spectra.,,,a From ref. 39.b Integrated Jsc from EQE spectra.,a From ref. 39.b Integrated Jsc from EQE spectra.,a From ref. 39.b Integrated Jsc from EQE spectra.,a From ref. 39.b Integrated Jsc from EQE spectra.
166_8_0,PIDTT-DTBO,,,0.88,5.02,32.34,1.35 ± 0.07 (1.43)
166_8_1,PIDTT-DTBO,,,0.88,8.24,37.48,2.64 ± 0.08 (2.72)
166_8_2,PIDTT-DTBO,,,0.88,9.19,43.40,3.42 ± 0.08 (3.51)
166_8_3,PIDTT-DTBO,,,0.88,9.97,49.84,4.24 ± 0.09 (4.37)
166_8_4,PIDTT-DTBO,,,0.88,10.50,49.74,4.47 ± 0.10 (4.60)
166_8_5,PIDTT-DTBT,,,0.84,4.15,30.15,0.93 ± 0.10 (1.05)
166_8_6,PIDTT-DTBT,,,0.86,6.93,34.89,1.95 ± 0.10 (2.08)
166_8_7,PIDTT-DTBT,,,0.86,8.87,51.04,3.78 ± 0.08 (3.89)
166_8_8,PIDTT-DTBT,,,0.86,10.05,55.80,4.70 ± 0.10 (4.82)
166_8_9,PIDTT-DTBT,,,0.86,10.20,55.99,4.79 ± 0.09 (4.91)
166_8_10,"a Polymer:PC71BM weight ratio.b Room temperature without annealing.c The values in the parentheses are from the best devices, and the statistics are from twelve devices.",,,"a Polymer:PC71BM weight ratio.b Room temperature without annealing.c The values in the parentheses are from the best devices, and the statistics are from twelve devices.","a Polymer:PC71BM weight ratio.b Room temperature without annealing.c The values in the parentheses are from the best devices, and the statistics are from twelve devices.","a Polymer:PC71BM weight ratio.b Room temperature without annealing.c The values in the parentheses are from the best devices, and the statistics are from twelve devices.","a Polymer:PC71BM weight ratio.b Room temperature without annealing.c The values in the parentheses are from the best devices, and the statistics are from twelve devices."
167_9_0,1:0.5,,,0.98,6.08,0.45,2.68
167_9_1,1:1,,,0.96,8.34,0.48,3.84
167_9_2,1:1.5,,,0.98,9.53,0.53,4.95
167_9_3,1:2,,,0.98,9.21,0.51,4.6
167_11_0,CF cast,,,0.98,9.53,0.53,4.95 (4.86)a
167_11_1,1 v% DIO/CF,,,0.95,10.65,0.56,5.66
167_11_2,2 v% DIO/CF,,,0.94,12.87,0.63,7.62
167_11_3,3% DIO/CF cast,,,0.94,14.36,0.66,8.91 (8.79)a
167_11_4,3.5% DIO/CF cast,,,0.95,12.54,0.61,7.26
167_11_5,a Average value of 10 devices.,,,a Average value of 10 devices.,a Average value of 10 devices.,a Average value of 10 devices.,a Average value of 10 devices.
168_2_0,PBDT‐T8‐TPD,,,0.96,5.9,38.1,2.16
168_2_1,PBDT‐T8‐TPD,,,1.0,9.79,63.0,6.17
168_2_2,PBDT‐T10‐TPD,,,0.92,8.18,55.1,4.15
168_2_3,PBDT‐T10‐TPD,,,0.92,8.92,55.0,4.51
168_2_4,PBDT‐T12‐TPD,,,0.96,6.69,49.0,3.14
168_2_5,PBDT‐T12‐TPD,,,0.95,8.94,53.2,4.5
168_2_6,PBDT‐TPD,,,0.85,8.63,47.5,3.48
168_2_7,PBDT‐TPD,,,0.9,10.74,49.4,4.77
169_2_0,PBDFDTBT,,,,,,5.0
169_2_1,PBDTDTBT,,,,,,5.6
169_2_2,PFDTBT,,,,,,4.5
169_2_3,PCDTBT,,,,,,3.6
169_2_4,PSiDTBT,,,,,,3.4
169_3_0,1:0.5,,,0.79,8.71,0.587,4.04
169_3_1,1:0.8,,,0.78,9.10,0.606,4.30
169_3_2,1:1,,,0.75,8.79,0.617,4.07
169_3_3,1:1.5,,,0.78,10.00,0.598,4.66
169_3_4,1:1.5a,,,0.78,11.77,0.546,5.01
169_3_5,1:2,,,0.77,8.80,0.578,3.92
169_3_6,a Annealed at 90 °C for 10 min.,,,a Annealed at 90 °C for 10 min.,a Annealed at 90 °C for 10 min.,a Annealed at 90 °C for 10 min.,a Annealed at 90 °C for 10 min.
170_10_0,PBDTT-BT,,,0.88,5.83,36.0,1.85
170_10_1,PBDTF-BT,,,0.85,8.41,40.3,2.88
170_10_2,PBDFT-BT,,,0.79,8.82,57.4,4.0
170_10_3,PBDFT-BT with 3% DIO,,,0.73,9.94,60.9,4.42
170_10_4,PBDFF-BT,,,0.8,5.84,55.6,2.6
171_12_0,PBDFFBT:PC71BM = 1:1,,,0.64,7.41,62.1,2.9
171_12_1,PBDTFBT:PC71BM = 1:1,,,0.75,7.69,60.7,3.5
171_12_2,PBDFFBT:PC71BM = 1:2,,,0.63,8.01,61.0,3.1
171_12_3,PBDTFBT:PC71BM = 1:2,,,0.72,9.31,60.0,4.0
171_12_4,PBDFFBT:PC71BM = 1:3,,,0.62,9.17,58.4,3.3
171_12_5,PBDTFBT:PC71BM = 1:3,,,0.71,9.41,54.5,3.7
172_4_0,1:1,,,0.86,10.4,64.4,5.7
172_4_1,1:2,,,0.81,9.7,57.2,4.5
172_4_2,1:3,,,0.8,8.5,59.5,4.0
172_4_3,1:4,,,0.8,7.1,57.1,3.2
173_8_0,PBDTDTBTz:PC61BM (1:3),,,0.61,,55,1.5
173_8_1,PBDTDTBTz:PC71BM (1:4),,,0.61,,62,1.7
173_8_2,PBDTBTz:PC61BM (1:3),,,0.61,,37,0.7
173_8_3,PBDTBTz:PC71BM (1:4),,,0.61,,47,1.4
174_8_0,PBDTTDTBO,,,0.84,11.45,61.3,5.9
174_8_1,PBDTTDTBT,,,0.75,10.29,64.0,4.94
174_8_2,PBDTTDTBTz,,,0.54,9.47,60.6,3.1
174_8_3,a Measured by using the space-charge-limited current (SCLC) method.b Measured by using the organic field-effect transistor (OFET) method.,,,a Measured by using the space-charge-limited current (SCLC) method.b Measured by using the organic field-effect transistor (OFET) method.,a Measured by using the space-charge-limited current (SCLC) method.b Measured by using the organic field-effect transistor (OFET) method.,a Measured by using the space-charge-limited current (SCLC) method.b Measured by using the organic field-effect transistor (OFET) method.,a Measured by using the space-charge-limited current (SCLC) method.b Measured by using the organic field-effect transistor (OFET) method.
175_6_0,PBDT-T-FBSe,,,0.78,11.8,0.54,5.0
175_6_1,PIDT-T-FBSe,,,0.83,10.57,0.53,4.65
176_8_0,PBDTPO-DTBO:PC71BM = 1:1.5,,,0.89,11.0,64,6.2
176_8_1,PBDTPO-DTBT:PC71BM = 1:2,,,0.78,9.3,47,3.4
177_10_0,PTBFTDTBT:PC61BM = 1:1,,,0.8,11.89,57.4,5.46
177_10_1,PTBFTDTBT:PC61BM = 1:2,,,0.79,11.64,58.0,5.33
177_10_2,PTBFTDTBT:PC61BM = 1:3,,,0.74,11.21,52.1,5.32
177_10_3,PTBFTDTBT:PC71BM = 1:1,,,0.8,14.21,51.4,5.84
177_10_4,PTBFTDTBT:PC71BM = 1:2,,,0.78,13.51,61.0,6.42
177_10_5,PTBFTDTBT:PC71BM = 1:3,,,0.72,12.74,61.3,5.62
177_10_6,PBDTTDTBT:PC71BM = 1:1.512a,,,0.75,10.29,64.0,4.94
178_1_0,DTBT,200.0,0.81,0.81,10.1,38.3,
178_1_1,DTBT,150.0,0.79,0.79,11.0,44.2,
178_1_2,DTBT,100.0,0.78,0.78,11.7,47.6,
178_1_3,,,,,,,
178_1_4,DTfBT,200.0,0.83,0.83,11.2,46.5,
178_1_5,DTfBT,150.0,0.85,0.85,11.4,50.6,
178_1_6,DTfBT,100.0,0.84,0.84,11.5,52.2,
178_1_7,,,,,,,
178_1_8,DTffBT,200.0,0.91,0.91,11.9,52.1,
178_1_9,DTffBT,150.0,0.91,0.91,12.7,56.2,
178_1_10,DTffBT,100.0,0.9,0.9,12.2,62.1,
179_10_0,P1,,,0.69,6.15 (5.89),44.3,1.88 (1.80)
179_10_1,P2,,,0.69,8.89 (8.83),55.4,3.40 (3.38)
179_10_2,"a Polymer/PC71BM weight raio.  b Containing 1.8-diiodooctane (2.5% volume ratio) as additives.  c TCB = 1,2,4-trichlorobenzene.  d Data calculated from EQE spectrum are shown in bracket.",,,,,,
180_12_0,P(BDT-TT-HBT),,,0.72,8.8,0.52,3.29
180_12_1,P(BDT-TT-HBT),,,0.72,10.12,0.6,4.37
180_12_2,P(BDT-TT-HBT),,,0.74,9.68,0.6,4.29
180_12_3,P(BDT-TT-FBT),,,0.82,6.2,0.59,3.0
180_12_4,P(BDT-TT-FBT),,,0.81,8.0,0.55,3.56
180_12_5,P(BDT-TT-FBT),,,0.79,7.92,0.52,3.25
181_7_0,PBDTT–DTTBT:PC70BM 1.5:1,,,0.8,11.35,51.5,4.68
181_7_1,PBDTT–DTTBT:PC70BM 1:1,,,0.78,12.46,62.0,6.03
181_7_2,PBDTT–DTTBT:PC70BM 1:1.5,,,0.77,9.0,57.4,3.99
181_7_3,PBDTT–DTBT:PC70BM1.5:1,,,0.82,5.01,46.6,1.91
181_7_4,PBDTT–DTBT:PC70BM 1:1,,,0.82,5.78,49.5,2.34
181_7_5,PBDTT–DTBT:PC70BM 1:1.5,,,0.79,4.23,49.7,1.66
182_8_0,PBDT–TBT,,,0.95,9.60,48.2,4.4
182_8_1,PBDT–TBT,,,0.96,9.10,51.8,4.9
182_8_2,PBDT–TTBT,,,0.77,11.82,60.5,5.5
182_8_3,PBDT–TTBT,,,0.80,11.83,66.6,6.3
182_8_4,"a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light.",,,"a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light.","a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light.","a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light.","a Annealing at 90 °C, 10 min under the illumination of AM 1.5G, 100 mW cm−2 light."
183_3_0,1:2,,,0.86,6.61,58.8,3.34
183_3_1,1:2,,,0.82,7.18,56.1,3.31
183_3_2,1:2,,,0.89,6.61,59.1,3.48
183_3_3,1:2,,,0.92,7.96,65.8,4.88
183_3_4,1:2,,,0.9,7.63,57.8,3.97
184_2_0,PDPP2TBP,,,0.80,11.5,0.63,5.7
184_2_1,F1-PDPP2TBP,,,0.89,6.7,0.62,3.7
184_2_2,F2-PDPP2TBP,,,0.93,7.7,0.56,4.1
184_2_3,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.,,,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.,a J  sc and PCE were calculated by integrating the EQE spectrum with the AM1.5G spectrum.
185_5_0,reg-PDPP/TPDalt2T,,,0.78 (0.78),9.95 (9.60),0.68 (0.68),5.3 (5.1)
185_5_1,ran-PDPP/TPDalt2T,,,0.74 (0.73),2.31 (2.13),0.61 (0.59),1.0 (0.9)
185_5_2,PDPP2T,,,0.68 (0.67),2.03 (1.93),0.50 (0.52),0.7 (0.7)
185_5_3,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.,,,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.,a Determined by integrating the EQE spectrum with the AM1.5G spectrum. The values in brackets are average values of 8 nominally identical devices.
186_7_0,TT1:PC61BM,,,0.56,2.83,0.38,0.60 (0.48)
186_7_1,TT2:PC61BM,,,0.58,8.54,0.69,3.40 (3.22)
186_7_2,BT1:PC61BM,,,0.73,6.72,0.67,3.29 (3.21)
186_7_3,BT2:PC61BM,,,0.62,9.01,0.66,3.74 (3.47)
186_7_4,BT2:PC71BM,,,0.62,10.07,0.67,4.18 (3.92)
186_7_5,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.,,,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.,a Normal cell structure (PEDOT:PSS/active layer/Ca/Al). The active layers were fabricated by chlorobenzene solution with 3 v/v % DIO or CN. No thermal annealing was applied for the active layer.  b In weight% fraction.  c Thickness of the active layer.  d The maximum PCE. The value in the brackets is an average PCE over at least 5 devices.  e The calculated Jsc by integrating the EQE spectrum. The value in the brackets is Jsc/Jcalcsc.
